Trait	Delta.PC5	Delta.PC8
20002_1111_PanUKBB_PanUKBBR2_1	-0.0640343912346007	0.0236362577968589
20002_1226_PanUKBB_PanUKBBR2_1	-0.016645506833172	0.0288727813381793
20002_1374_PanUKBB_PanUKBBR2_1	-0.0411991485433894	-0.00780823309870744
20002_1387_PanUKBB_PanUKBBR2_1	-0.0416692736881596	0.0155861464179554
20002_1466_PanUKBB_PanUKBBR2_1	0.00781340994943396	0.0261501896686382
AITD_Saevarsdottir_32581359_1	-0.0170008676826726	0.0294355293247921
ASTAO_Ferreira_30929738_1	-0.0582348188792749	0.0188471331114211
ASTCO_Ferreira_30929738_1	-0.0862012994799263	0.0226101149270506
CD_DeLange_28067908_1	-0.01510978666782	0.0301907469321113
CEL_Dubois_20190752_1	-0.0386818476986834	0.00135382168269822
EGPAANCAn_Lyons_31719529_1	-0.129160691303842	0.05819574045562
EGPA_Lyons_31719529_1	-0.12737514694905	0.0573808657732106
IBD_DeLange_28067908_1	-0.0165032271729436	0.021647715924983
IGAD_Bronson_27723758_1	-0.0588110700504317	0.0339163206764058
JIA_LopezIsac_33106285_1	-0.0491496765853288	0.0217813145167318
MS_IMSGC_31604244_1	-0.00480207224519528	0.0287868838757889
PBC_Cordell_26394269_1	-0.00302950190680796	0.047861208593957
PSC_Ji_27992413_1	-0.0240144189745365	0.0527676208715901
RA_Okada_24390342_3	-0.0323705043738599	0.00824938070047631
T1D_Chiou_34012112_1	-0.029457991153392	0.0254947130498445
VIT_Jin_27723757_1	-0.0490177509669717	0.0220354953091084
ph471_PanUKBB_PanUKBBR2_1	-0.106551026798663	0.0463302876824366
