Trait	Var.Delta.PC5	Var.Delta.PC8
20002_1111_PanUKBB_PanUKBBR2_1	6.47010154179663e-06	6.71840415799265e-06
20002_1226_PanUKBB_PanUKBBR2_1	1.44108928072739e-05	1.49414742202056e-05
20002_1374_PanUKBB_PanUKBBR2_1	8.44372003997027e-05	8.71756295658359e-05
20002_1387_PanUKBB_PanUKBBR2_1	1.12604345160971e-05	1.17010443952958e-05
20002_1466_PanUKBB_PanUKBBR2_1	4.37406432014644e-05	4.52754087224538e-05
AITD_Saevarsdottir_32581359_1	1.02865326595731e-05	1.08365223097005e-05
ASTAO_Ferreira_30929738_1	8.59842459859971e-06	8.89986027662711e-06
ASTCO_Ferreira_30929738_1	1.66019608225275e-05	1.71838816367313e-05
CD_DeLange_28067908_1	3.18329141949443e-05	3.3276088265442e-05
CEL_Dubois_20190752_1	8.46210273037331e-05	9.26592457331847e-05
EGPAANCAn_Lyons_31719529_1	0.000694466958403914	0.000706623008889993
EGPA_Lyons_31719529_1	0.000439959570960755	0.000447721590150574
IBD_DeLange_28067908_1	1.9085005587478e-05	1.99943113703629e-05
IGAD_Bronson_27723758_1	0.000226320884891854	0.000243290949563653
JIA_LopezIsac_33106285_1	0.000106192239750256	0.000111115794184178
MS_IMSGC_31604244_1	3.30506954890335e-05	3.46404972423914e-05
PBC_Cordell_26394269_1	0.000128055012938162	0.000132031288455167
PSC_Ji_27992413_1	0.000122328594263436	0.000136723006092416
RA_Okada_24390342_3	2.9991767240652e-05	3.01839104248168e-05
T1D_Chiou_34012112_1	2.64398159334004e-05	2.72132536578016e-05
VIT_Jin_27723757_1	9.98640558423241e-05	0.000106205236410809
ph471_PanUKBB_PanUKBBR2_1	6.99103867608337e-05	7.22992501316314e-05
