Trait	nSNP	overall_p	mscomp
20002_1065_Neale_UKBB_1	1661	8.14328645377643e-14	PC8 (3e-13)
20002_1065_PanUKBB_PanUKBBR1_1	1661	5.56744561724069e-19	PC8 (8e-16)
20002_1065_PanUKBB_PanUKBBR2_1	1661	2.44568482960045e-18	PC8 (1e-15)
20002_1066_Neale_UKBB_1	1661	0.770068238055335	PC14 (9e-02)
20002_1066_PanUKBB_PanUKBBR1_1	1661	0.642498055245333	PC2 (4e-02)
20002_1066_PanUKBB_PanUKBBR2_1	1661	0.642498055245333	PC2 (4e-02)
20002_1067_Neale_UKBB_1	1661	0.704809728427409	PC3 (2e-02)
20002_1067_PanUKBB_PanUKBBR1_1	1661	0.205420285753976	PC3 (2e-02)
20002_1067_PanUKBB_PanUKBBR2_1	1661	0.205420285753976	PC3 (2e-02)
20002_1072_Neale_UKBB_1	1661	0.639284841209805	PC3 (1e-01)
20002_1072_PanUKBB_PanUKBBR1_1	1661	0.773853914719742	PC3 (9e-02)
20002_1072_PanUKBB_PanUKBBR2_1	1661	0.773853914719742	PC3 (9e-02)
20002_1074_Neale_UKBB_1	1661	0.0119139644729676	PC13 (1e-03)
20002_1074_PanUKBB_PanUKBBR1_1	1661	0.0258672099822831	PC13 (1e-03)
20002_1074_PanUKBB_PanUKBBR2_1	1661	0.0259282497541419	PC13 (2e-03)
20002_1075_Neale_UKBB_1	1661	0.0017915938262285	PC1 (7e-05)
20002_1075_PanUKBB_PanUKBBR1_1	1661	0.0077383690364149	PC1 (4e-04)
20002_1075_PanUKBB_PanUKBBR2_1	1661	0.00955272385715883	PC1 (4e-04)
20002_1076_Neale_UKBB_1	1661	0.114576585634229	PC3 (5e-03)
20002_1076_PanUKBB_PanUKBBR1_1	1661	0.185525974254192	PC3 (5e-03)
20002_1076_PanUKBB_PanUKBBR2_1	1661	0.185525974254192	PC3 (5e-03)
20002_1077_Neale_UKBB_1	1661	0.614664267055553	PC4 (5e-02)
20002_1077_PanUKBB_PanUKBBR1_1	1661	0.93797215432996	PC5 (3e-01)
20002_1077_PanUKBB_PanUKBBR2_1	1661	0.93797215432996	PC5 (3e-01)
