Trait	PC	Delta	Trait_long	Label	stars
BANEC	PC1	-0.000369727374479245	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC2	0.100091417244488	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC3	-0.00772990944306723	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC4	-0.00127777255151523	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC5	0.00313592363564714	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC6	-0.0194731865784477	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC7	0.00361154060642783	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC8	0.0197769470338139	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC9	0.0010099592822488	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC10	0.000238494973383661	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC11	-0.0316087174424385	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC12	-0.0063549319648114	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC13	-0.0141780539275665	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BANEC	PC14	0.00798635807281434	Sum of Basophil and Neutrophil counts	Sum of Basophil and Neutrophil counts	""
BASC	PC1	-0.0015719412279766	Basophil count	Basophil count	""
BASC	PC2	0.038248477694739	Basophil count	Basophil count	""
BASC	PC3	-0.0011951411918067	Basophil count	Basophil count	""
BASC	PC4	-0.00499278913932786	Basophil count	Basophil count	""
BASC	PC5	-0.0100101159022381	Basophil count	Basophil count	""
BASC	PC6	-0.0289877490651352	Basophil count	Basophil count	""
BASC	PC7	-0.000949170775941901	Basophil count	Basophil count	""
BASC	PC8	0.0204068389587236	Basophil count	Basophil count	""
BASC	PC9	0.0150227667239432	Basophil count	Basophil count	""
BASC	PC10	-0.00223664635528652	Basophil count	Basophil count	""
BASC	PC11	0.0492322300947398	Basophil count	Basophil count	""
BASC	PC12	-0.00264244195501137	Basophil count	Basophil count	""
BASC	PC13	-0.0120021604694698	Basophil count	Basophil count	""
BASC	PC14	-0.00345299777538329	Basophil count	Basophil count	""
BASPG	PC1	-0.0011630836941761	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC2	-0.00988857683596707	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC3	0.00308729135827491	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC4	-0.00405174081882976	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC5	-0.0069404437702428	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC6	-0.0188716512885539	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC7	-0.00203890473058038	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC8	0.00781997224298837	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC9	0.0142571898429067	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC10	-0.00157260995139742	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC11	0.0645143273171717	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC12	0.000804742195800913	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC13	-0.00432615405196401	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPG	PC14	-0.0069596473129227	Basophil percentage of granulocytes	Basophil percentage of granulocytes	""
BASPL	PC1	-0.00162396991123751	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC2	0.00507530725414263	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC3	0.00324690386669697	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC4	-0.00223538783847575	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC5	-0.0109241160187204	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC6	-0.0179397861120913	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC7	-0.00103961499557139	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC8	0.00271783244596372	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC9	0.00428408958103558	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC10	0.000162972807443859	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC11	0.0645894290033465	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC12	0.000868034331338857	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC13	-0.00455827195175948	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
BASPL	PC14	-0.0049128767154667	Basophil percentage of Leukocytes	Basophil percentage of Leukocytes	""
CORV	PC1	0.0904411342148239	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC2	-0.00291375303412043	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC3	0.00124375060566886	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC4	-0.0174281874539023	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC5	0.0169219099473533	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC6	-0.00276274269089358	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC7	0.0926325002364888	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC8	-0.00691260496105321	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC9	-0.0052600735896929	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC10	-0.0211935751429522	Mean corpuscular volume	Mean corpuscular volume	""
