Trait	nSNP	overall_p	mscomp	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	URL	Population	Retrieval_date	Public	Notes
20002_1065_PanUKBB_PanUKBBR2_1	1661	2.44568482960045e-18	PC8 (1e-15)	PanUKBB	2022	PanUKBBR2	20002_1065	Hypertension (UKBB)	OTH	325698	115530	441228	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1065.tsv.bgz	Trans-ethnic (CSA,EUR)	2022-07-18T00:00:00Z	Y	HQ file
20002_1066_PanUKBB_PanUKBBR2_1	1661	0.642498055245333	PC2 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1066	Heart/Cardiac Problem (UKBB)	OTH	419120	1353	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1066.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1067_PanUKBB_PanUKBBR2_1	1661	0.205420285753976	PC3 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1067	Peripheral Vascular Disease (UKBB)	OTH	419688	785	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1067.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1072_PanUKBB_PanUKBBR2_1	1661	0.773853914719742	PC3 (9e-02)	PanUKBB	2022	PanUKBBR2	20002_1072	Essential Hypertension (UKBB)	OTH	433897	2049	435946	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1072.tsv.bgz	Trans-ethnic (AFR,CSA,EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1074_PanUKBB_PanUKBBR2_1	1661	0.0259282497541419	PC13 (2e-03)	PanUKBB	2022	PanUKBBR2	20002_1074	Angina (UKBB)	OTH	423417	14124	437541	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1074.tsv.bgz	Trans-ethnic (CSA,EUR)	2022-07-18T00:00:00Z	Y	HQ file
20002_1075_PanUKBB_PanUKBBR2_1	1661	0.00955272385715883	PC1 (4e-04)	PanUKBB	2022	PanUKBBR2	20002_1075	Heart Attack/Myocardial Infarction (UKBB)	OTH	425809	10137	435946	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1075.tsv.bgz	Trans-ethnic (CSA,EUR)	2022-07-18T00:00:00Z	Y	HQ file
20002_1076_PanUKBB_PanUKBBR2_1	1661	0.185525974254192	PC3 (5e-03)	PanUKBB	2022	PanUKBBR2	20002_1076	Heart Failure/Pulmonary Odema (UKBB)	OTH	420213	260	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1076.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1077_PanUKBB_PanUKBBR2_1	1661	0.93797215432996	PC5 (3e-01)	PanUKBB	2022	PanUKBBR2	20002_1077	Heart Arrhythmia (UKBB)	OTH	418152	2321	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1077.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1078_PanUKBB_PanUKBBR2_1	1661	0.0981206359238743	PC1 (9e-03)	PanUKBB	2022	PanUKBBR2	20002_1078	Heart Valve Problem/Heart Murmur (UKBB)	OTH	417607	2866	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1078.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1079_PanUKBB_PanUKBBR2_1	1661	0.734722064613363	PC5 (6e-02)	PanUKBB	2022	PanUKBBR2	20002_1079	Cardiomyopathy (UKBB)	OTH	420127	346	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1079.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1080_PanUKBB_PanUKBBR2_1	1661	0.896627616630118	PC13 (7e-02)	PanUKBB	2022	PanUKBBR2	20002_1080	Pericardial Problem (UKBB)	OTH	420241	232	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1080.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1081_PanUKBB_PanUKBBR2_1	1661	0.199106139561688	PC8 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1081	Stroke (UKBB)	OTH	430144	5802	435946	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1081.tsv.bgz	Trans-ethnic (AFR,CSA,EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1082_PanUKBB_PanUKBBR2_1	1661	0.807297085393745	PC4 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1082	Transient Ischaemic Attack (Tia) (UKBB)	OTH	418897	1576	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1082.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1083_PanUKBB_PanUKBBR2_1	1661	0.33554386779955	PC1 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1083	Subdural Haemorrhage/Haematoma (UKBB)	OTH	420304	169	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1083.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1086_PanUKBB_PanUKBBR2_1	1661	0.602693021519436	PC7 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1086	Subarachnoid Haemorrhage (UKBB)	OTH	420084	389	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1086.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1087_PanUKBB_PanUKBBR2_1	1659	0.424819079863308	PC14 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1087	Leg Claudication/ Intermittent Claudication (UKBB)	OTH	420159	314	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1087.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1093_PanUKBB_PanUKBBR2_1	1661	0.0839677223936647	PC10 (1e-02)	PanUKBB	2022	PanUKBBR2	20002_1093	Pulmonary Embolism +/- Dvt (UKBB)	OTH	423538	3559	427097	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1093.tsv.bgz	Trans-ethnic (AFR,EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1094_PanUKBB_PanUKBBR2_1	1661	0.644897309113083	PC7 (5e-02)	PanUKBB	2022	PanUKBBR2	20002_1094	Deep Venous Thrombosis (Dvt) (UKBB)	OTH	427264	8682	435946	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1094.tsv.bgz	Trans-ethnic (AFR,CSA,EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1111_PanUKBB_PanUKBBR2_1	1661	1.29642960758557e-160	PC5 (8e-140)	PanUKBB	2022	PanUKBBR2	20002_1111	Asthma (UKBB)	IMD	389965	51263	441228	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1111.tsv.bgz	Trans-ethnic (AFR,CSA,EUR)	2022-07-18T00:00:00Z	Y	HQ file
20002_1112_PanUKBB_PanUKBBR2_1	1661	0.162026507406049	PC9 (7e-03)	PanUKBB	2022	PanUKBBR2	20002_1112	Chronic Obstructive Airways Disease/Copd (UKBB)	IMD	418967	1506	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1112.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1113_PanUKBB_PanUKBBR2_1	1661	0.0943072865512511	PC5 (7e-03)	PanUKBB	2022	PanUKBBR2	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	423411	5911	429322	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1113.tsv.bgz	Trans-ethnic (CSA,EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1114_PanUKBB_PanUKBBR2_1	1661	0.408386636757548	PC5 (5e-03)	PanUKBB	2022	PanUKBBR2	20002_1114	Bronchiectasis (UKBB)	OTH	419473	1000	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1114.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1115_PanUKBB_PanUKBBR2_1	1661	0.823658258434209	PC2 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1115	Interstitial Lung Disease (UKBB)	OTH	420335	138	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1115.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1117_PanUKBB_PanUKBBR2_1	1661	0.522757834348753	PC2 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1117	Other Respiratory Problems (UKBB)	OTH	419754	719	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1117.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1120_PanUKBB_PanUKBBR2_1	1661	0.374144005083922	PC4 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1120	Asbestosis (UKBB)	OTH	420298	175	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1120.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1121_PanUKBB_PanUKBBR2_1	1661	0.134099041693002	PC6 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1121	pulmonary fibrosis (UKBB)	OTH	420366	107	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1121.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1123_PanUKBB_PanUKBBR2_1	1661	0.92222324875844	PC14 (2e-01)	PanUKBB	2022	PanUKBBR2	20002_1123	Sleep Apnoea (UKBB)	OTH	419101	1372	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1123.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1125_PanUKBB_PanUKBBR2_1	1661	0.655060417475511	PC4 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1125	Pleurisy (UKBB)	OTH	419047	1426	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1125.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1126_PanUKBB_PanUKBBR2_1	1661	0.324122166887377	PC10 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1126	Spontaneous Pneumothorax/Recurrent Pneumothorax (UKBB)	OTH	419475	998	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1126.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1134_PanUKBB_PanUKBBR2_1	1661	0.225680173273362	PC12 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1134	Oesophageal Disorder (UKBB)	OTH	420215	258	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1134.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
