Trait	nSNP	overall_p	mscomp	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	Population	FDR.overall	sig.overall
20002_1065_PanUKBB_PanUKBBR2_1	1661	2.44568482960045e-18	PC8 (1e-15)	PanUKBB	2022	PanUKBBR2	20002_1065	Hypertension (UKBB)	OTH	325698	115530	441228	Trans-ethnic (CSA,EUR)	7.01911546095329e-16	Y
20002_1066_PanUKBB_PanUKBBR2_1	1661	0.642498055245333	PC2 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1066	Heart/Cardiac Problem (UKBB)	OTH	419120	1353	420473	European (EUR)	0.887884900981967	N
20002_1067_PanUKBB_PanUKBBR2_1	1661	0.205420285753976	PC3 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1067	Peripheral Vascular Disease (UKBB)	OTH	419688	785	420473	European (EUR)	0.701852642992751	N
20002_1072_PanUKBB_PanUKBBR2_1	1661	0.773853914719742	PC3 (9e-02)	PanUKBB	2022	PanUKBBR2	20002_1072	Essential Hypertension (UKBB)	OTH	433897	2049	435946	Trans-ethnic (AFR,CSA,EUR)	0.930446498370853	N
20002_1074_PanUKBB_PanUKBBR2_1	1661	0.0259282497541419	PC13 (2e-03)	PanUKBB	2022	PanUKBBR2	20002_1074	Angina (UKBB)	OTH	423417	14124	437541	Trans-ethnic (CSA,EUR)	0.283482197311951	N
20002_1075_PanUKBB_PanUKBBR2_1	1661	0.00955272385715883	PC1 (4e-04)	PanUKBB	2022	PanUKBBR2	20002_1075	Heart Attack/Myocardial Infarction (UKBB)	OTH	425809	10137	435946	Trans-ethnic (CSA,EUR)	0.155063095897865	N
20002_1076_PanUKBB_PanUKBBR2_1	1661	0.185525974254192	PC3 (5e-03)	PanUKBB	2022	PanUKBBR2	20002_1076	Heart Failure/Pulmonary Odema (UKBB)	OTH	420213	260	420473	European (EUR)	0.678292415426154	N
20002_1077_PanUKBB_PanUKBBR2_1	1661	0.93797215432996	PC5 (3e-01)	PanUKBB	2022	PanUKBBR2	20002_1077	Heart Arrhythmia (UKBB)	OTH	418152	2321	420473	European (EUR)	0.973667167174475	N
20002_1078_PanUKBB_PanUKBBR2_1	1661	0.0981206359238743	PC1 (9e-03)	PanUKBB	2022	PanUKBBR2	20002_1078	Heart Valve Problem/Heart Murmur (UKBB)	OTH	417607	2866	420473	European (EUR)	0.53639280971718	N
20002_1079_PanUKBB_PanUKBBR2_1	1661	0.734722064613363	PC5 (6e-02)	PanUKBB	2022	PanUKBBR2	20002_1079	Cardiomyopathy (UKBB)	OTH	420127	346	420473	European (EUR)	0.916822539207958	N
20002_1080_PanUKBB_PanUKBBR2_1	1661	0.896627616630118	PC13 (7e-02)	PanUKBB	2022	PanUKBBR2	20002_1080	Pericardial Problem (UKBB)	OTH	420241	232	420473	European (EUR)	0.960194499898671	N
20002_1081_PanUKBB_PanUKBBR2_1	1661	0.199106139561688	PC8 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1081	Stroke (UKBB)	OTH	430144	5802	435946	Trans-ethnic (AFR,CSA,EUR)	0.691503763632189	N
20002_1082_PanUKBB_PanUKBBR2_1	1661	0.807297085393745	PC4 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1082	Transient Ischaemic Attack (Tia) (UKBB)	OTH	418897	1576	420473	European (EUR)	0.934316318217193	N
20002_1083_PanUKBB_PanUKBBR2_1	1661	0.33554386779955	PC1 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1083	Subdural Haemorrhage/Haematoma (UKBB)	OTH	420304	169	420473	European (EUR)	0.799179170609717	N
20002_1086_PanUKBB_PanUKBBR2_1	1661	0.602693021519436	PC7 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1086	Subarachnoid Haemorrhage (UKBB)	OTH	420084	389	420473	European (EUR)	0.882514781510603	N
20002_1087_PanUKBB_PanUKBBR2_1	1659	0.424819079863308	PC14 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1087	Leg Claudication/ Intermittent Claudication (UKBB)	OTH	420159	314	420473	European (EUR)	0.839863476069152	N
20002_1093_PanUKBB_PanUKBBR2_1	1661	0.0839677223936647	PC10 (1e-02)	PanUKBB	2022	PanUKBBR2	20002_1093	Pulmonary Embolism +/- Dvt (UKBB)	OTH	423538	3559	427097	Trans-ethnic (AFR,EUR)	0.486843158120844	N
20002_1094_PanUKBB_PanUKBBR2_1	1661	0.644897309113083	PC7 (5e-02)	PanUKBB	2022	PanUKBBR2	20002_1094	Deep Venous Thrombosis (Dvt) (UKBB)	OTH	427264	8682	435946	Trans-ethnic (AFR,CSA,EUR)	0.887884900981967	N
20002_1111_PanUKBB_PanUKBBR2_1	1661	1.29642960758557e-160	PC5 (8e-140)	PanUKBB	2022	PanUKBBR2	20002_1111	Asthma (UKBB)	IMD	389965	51263	441228	Trans-ethnic (AFR,CSA,EUR)	3.27996690719149e-158	Y
20002_1112_PanUKBB_PanUKBBR2_1	1661	0.162026507406049	PC9 (7e-03)	PanUKBB	2022	PanUKBBR2	20002_1112	Chronic Obstructive Airways Disease/Copd (UKBB)	IMD	418967	1506	420473	European (EUR)	0.366006306908307	N
20002_1113_PanUKBB_PanUKBBR2_1	1661	0.0943072865512511	PC5 (7e-03)	PanUKBB	2022	PanUKBBR2	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	423411	5911	429322	Trans-ethnic (CSA,EUR)	0.248538994765276	N
20002_1114_PanUKBB_PanUKBBR2_1	1661	0.408386636757548	PC5 (5e-03)	PanUKBB	2022	PanUKBBR2	20002_1114	Bronchiectasis (UKBB)	OTH	419473	1000	420473	European (EUR)	0.828591792204143	N
20002_1115_PanUKBB_PanUKBBR2_1	1661	0.823658258434209	PC2 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1115	Interstitial Lung Disease (UKBB)	OTH	420335	138	420473	European (EUR)	0.934316318217193	N
20002_1117_PanUKBB_PanUKBBR2_1	1661	0.522757834348753	PC2 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1117	Other Respiratory Problems (UKBB)	OTH	419754	719	420473	European (EUR)	0.852349775750358	N
20002_1120_PanUKBB_PanUKBBR2_1	1661	0.374144005083922	PC4 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1120	Asbestosis (UKBB)	OTH	420298	175	420473	European (EUR)	0.815714359290842	N
20002_1121_PanUKBB_PanUKBBR2_1	1661	0.134099041693002	PC6 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1121	pulmonary fibrosis (UKBB)	OTH	420366	107	420473	European (EUR)	0.60848102712872	N
