Trait	PC	Delta	Var.Delta	z	P	First_Author	Trait_ID_2.0	Trait_long	Trait_class	Population	FDR.PC	stars	Label	Label2
20002_1065_PanUKBB_PanUKBBR2_1	PC1	0.000956612797266526	4.19181981339902e-06	0.467234478849159	0.640332128071556	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.945082023855347	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC2	-0.00229696435365793	4.46141706582465e-06	-1.08747139835318	0.276828532175758	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.865937751874033	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC3	-0.00151431677749599	4.79688572229829e-06	-0.691412215100369	0.489306529925111	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.978881232708838	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC4	0.0055739857328567	4.64990917493759e-06	2.58489923333796	0.00974074608067177	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.55911882503056	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC5	-0.00292121188302359	4.14289810185864e-06	-1.43519506653883	0.151231519071453	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.853615803261766	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC6	-0.00148005646367304	3.84448574209473e-06	-0.754847388020122	0.450340556676564	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.911787913115547	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC7	-0.00319352483358184	4.1218473748721e-06	-1.572984142339	0.115722490113199	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.830487255643451	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC8	0.0166278358265399	4.28948728788595e-06	8.02847455594293	9.86920746060899e-16	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	1.13298501647791e-12	●	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC9	0.00145090925754926	3.52729538818698e-06	0.772537084858967	0.439796391239556	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.947106224703032	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC10	-0.00417637287316009	4.49620802350509e-06	-1.96959107704074	0.0488852551110733	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.734300207666471	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC11	0.000536756857498622	4.4275221772391e-06	0.255092229179124	0.798651865892917	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.957264344510854	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC12	-0.00807661628677373	3.82248816829442e-06	-4.13101122910283	3.61170936909748e-05	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.0218065147140335	○	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC13	0.00658454606686385	3.75842627422889e-06	3.39643120765637	0.000682707156871868	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.182613420983862	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1065_PanUKBB_PanUKBBR2_1	PC14	0.00406921119704436	4.1588782896997e-06	1.99536396756523	0.0460031978578535	PanUKBB	20002_1065	Hypertension (UKBB)	OTH	Trans-ethnic (CSA,EUR)	0.768640967644036	""	Hypertension / PanUKBB	Hypertension (Trans-ethnic (CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC1	-0.000698695339932501	6.52999334239343e-06	-0.273420754512682	0.784529800601256	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.923521172745561	""	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC2	0.0153935097069609	6.97625073860563e-06	5.82809482323637	5.60637219164671e-09	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	3.54603041121654e-07	●	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC3	-0.00537450222070423	7.49657238638409e-06	-1.96293933219288	0.0496532238181356	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.992863206181961	""	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC4	-0.00416320520157396	7.2538884765396e-06	-1.54576112319015	0.122162269327238	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.619369911803958	""	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC5	-0.0640343912346007	6.47010154179663e-06	-25.1743193312805	7.65645151273571e-140	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	1.93708223272213e-137	●	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC6	0.000546563432855312	6.00833206212783e-06	0.222978818025248	0.823551992265016	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.966020805432719	""	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC7	0.000450286448499019	6.43245886981245e-06	0.177541697523976	0.859082915540388	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.999214945305225	""	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC8	0.0236362577968589	6.71840415799265e-06	9.11896723100963	7.5843610785433e-20	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	1.91884335287146e-17	●	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC9	0.000774259703550804	5.51144845933477e-06	0.329802377219589	0.741549291027223	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.957184156537537	""	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC10	-0.0079368196443069	7.00255958132505e-06	-2.99928755288959	0.00270611773128998	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.0855809732520456	""	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC11	0.0057679697896497	6.93574213869704e-06	2.19016335334433	0.0285123919451176	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.28854540648459	""	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC12	-0.00584701039662523	5.98101532337362e-06	-2.3908174034206	0.0168109112644172	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.588355226482174	""	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC13	-0.0116854337577771	5.85681252485575e-06	-4.82852157789336	1.37550431469688e-06	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.000348002591618311	●	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1111_PanUKBB_PanUKBBR2_1	PC14	-0.00798194566724027	6.47173291213839e-06	-3.13760648820613	0.00170333388194878	PanUKBB	20002_1111	Asthma (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	0.10773586803326	""	Asthma / PanUKBB	Asthma (Trans-ethnic (AFR,CSA,EUR)) / PanUKBB
20002_1220_PanUKBB_PanUKBBR2_1	PC1	0.00856060342036168	1.58713139416023e-05	2.14880960802346	0.031649495461111	PanUKBB	20002_1220	Diabetes (UKBB)	OTH	Trans-ethnic (AFR,CSA,EAS,EUR,MID)	0.657807277285117	""	Diabetes / PanUKBB	Diabetes (Trans-ethnic (AFR,CSA,EAS,EUR,MID)) / PanUKBB
20002_1220_PanUKBB_PanUKBBR2_1	PC2	-0.0103850880475857	1.71338189621983e-05	-2.50889852430766	0.0121108269867749	PanUKBB	20002_1220	Diabetes (UKBB)	OTH	Trans-ethnic (AFR,CSA,EAS,EUR,MID)	0.397235125166217	""	Diabetes / PanUKBB	Diabetes (Trans-ethnic (AFR,CSA,EAS,EUR,MID)) / PanUKBB
